email,label
National e-Governance Division alert: Action required. [ADV-4],Spoofed
Flagged content found under your social media account. View report here. [ADV-67],Spoofed
Make your money work for you — automated trading bot inside! [ADV-53],Spam
Can we postpone our sync to Monday? I have another client call overlapping. [ADV-10],Ham
Final warning: Suspicious browsing activity linked to child exploitation materials. [ADV-34],Spoofed
Security alert: Your IP triggered a government investigation. [ADV-27],Spoofed
Increase testosterone 300% with this clinically proven supplement. [ADV-97],Spam
Act fast! Only 2 units left for your free trial on GlucoBurn+. [ADV-10],Spam
Reminder: Client onboarding meeting scheduled for Thursday at 11AM. [ADV-6],Ham
Don't miss out on this once-in-a-lifetime mortgage deal. [ADV-76],Spam
Security alert: Your IP triggered a government investigation. [ADV-38],Spoofed
Your e-pass for tomorrow's webinar is attached. Let me know if any issues. [ADV-58],Ham
Security alert: Your IP triggered a government investigation. [ADV-19],Spoofed
"Hey team, attaching the updated strategy deck for Q3. Let's review tomorrow. [ADV-46]",Ham
You've been hand-picked for a guaranteed loan. No documents needed. [ADV-83],Spam
Sensitive keywords detected on your browsing session. Review urgently. [ADV-22],Spoofed
Case ID #3821 filed against your digital activity. Check immediately. [ADV-90],Spoofed
Case ID #3821 filed against your digital activity. Check immediately. [ADV-12],Spoofed
Lowest flight deals of the season. Search and save now! [ADV-49],Spam
Increase testosterone 300% with this clinically proven supplement. [ADV-66],Spam
Check out this new Figma prototype and leave comments before our UX review. [ADV-79],Ham
Join our exclusive crypto community and earn 20% weekly returns! [ADV-14],Spam
Sensitive keywords detected on your browsing session. Review urgently. [ADV-50],Spoofed
You are summoned for questioning under the Cyber Security Act. [ADV-51],Spoofed
Act fast! Only 2 units left for your free trial on GlucoBurn+. [ADV-5],Spam
Can we postpone our sync to Monday? I have another client call overlapping. [ADV-43],Ham
Case ID #3821 filed against your digital activity. Check immediately. [ADV-82],Spoofed
Final warning: Suspicious browsing activity linked to child exploitation materials. [ADV-96],Spoofed
This shocking anti-wrinkle serum is banned in Europe. Try now! [ADV-58],Spam
You are summoned for questioning under the Cyber Security Act. [ADV-39],Spoofed
Here’s a Google Doc with the brainstorm notes from today’s session. [ADV-18],Ham
Make your money work for you — automated trading bot inside! [ADV-65],Spam
Here's the invoice for the July design retainer. Thanks again! [ADV-34],Ham
Reminder: Client onboarding meeting scheduled for Thursday at 11AM. [ADV-25],Ham
Case ID #3821 filed against your digital activity. Check immediately. [ADV-16],Spoofed
Lowest flight deals of the season. Search and save now! [ADV-20],Spam
Great job on the release! Let’s regroup next week for feedback. [ADV-8],Ham
Here's the invoice for the July design retainer. Thanks again! [ADV-91],Ham
Can we postpone our sync to Monday? I have another client call overlapping. [ADV-47],Ham
Here's the invoice for the July design retainer. Thanks again! [ADV-74],Ham
Can we postpone our sync to Monday? I have another client call overlapping. [ADV-94],Ham
Great job on the release! Let’s regroup next week for feedback. [ADV-77],Ham
Flagged content found under your social media account. View report here. [ADV-87],Spoofed
Great job on the release! Let’s regroup next week for feedback. [ADV-61],Ham
Great job on the release! Let’s regroup next week for feedback. [ADV-78],Ham
"Hey team, attaching the updated strategy deck for Q3. Let's review tomorrow. [ADV-64]",Ham
Cyber Law Section 66A violation notice. Immediate action required. [ADV-35],Spoofed
Final warning: Suspicious browsing activity linked to child exploitation materials. [ADV-30],Spoofed
Your car insurance is about to expire. Renew now and get 40% cashback. [ADV-12],Spam
Security alert: Your IP triggered a government investigation. [ADV-32],Spoofed
Your car insurance is about to expire. Renew now and get 40% cashback. [ADV-81],Spam
This shocking anti-wrinkle serum is banned in Europe. Try now! [ADV-45],Spam
Final warning: Suspicious browsing activity linked to child exploitation materials. [ADV-40],Spoofed
Here's the invoice for the July design retainer. Thanks again! [ADV-76],Ham
Final warning: Suspicious browsing activity linked to child exploitation materials. [ADV-98],Spoofed
Final warning: Suspicious browsing activity linked to child exploitation materials. [ADV-79],Spoofed
Legal has signed off on the NDA. Sharing it for your signature. [ADV-98],Ham
Can we postpone our sync to Monday? I have another client call overlapping. [ADV-93],Ham
Don't miss out on this once-in-a-lifetime mortgage deal. [ADV-93],Spam
Great job on the release! Let’s regroup next week for feedback. [ADV-26],Ham
Final warning: Suspicious browsing activity linked to child exploitation materials. [ADV-33],Spoofed
Here’s a Google Doc with the brainstorm notes from today’s session. [ADV-60],Ham
"Hey team, attaching the updated strategy deck for Q3. Let's review tomorrow. [ADV-7]",Ham
Join our exclusive crypto community and earn 20% weekly returns! [ADV-86],Spam
You've been hand-picked for a guaranteed loan. No documents needed. [ADV-74],Spam
Great job on the release! Let’s regroup next week for feedback. [ADV-31],Ham
Great job on the release! Let’s regroup next week for feedback. [ADV-23],Ham
Device linked to prohibited content. Confirm your identity immediately. [ADV-57],Spoofed
Here's the invoice for the July design retainer. Thanks again! [ADV-57],Ham
Lowest flight deals of the season. Search and save now! [ADV-87],Spam
Don't miss out on this once-in-a-lifetime mortgage deal. [ADV-9],Spam
Your PayPal account is at risk. Click to secure it. [ADV-27],Spam
You are summoned for questioning under the Cyber Security Act. [ADV-31],Spoofed
Act fast! Only 2 units left for your free trial on GlucoBurn+. [ADV-94],Spam
Make your money work for you — automated trading bot inside! [ADV-30],Spam
Sensitive keywords detected on your browsing session. Review urgently. [ADV-83],Spoofed
Here’s a Google Doc with the brainstorm notes from today’s session. [ADV-83],Ham
Can we postpone our sync to Monday? I have another client call overlapping. [ADV-85],Ham
Legal has signed off on the NDA. Sharing it for your signature. [ADV-67],Ham
National e-Governance Division alert: Action required. [ADV-89],Spoofed
Join our exclusive crypto community and earn 20% weekly returns! [ADV-64],Spam
Join our exclusive crypto community and earn 20% weekly returns! [ADV-55],Spam
Your e-pass for tomorrow's webinar is attached. Let me know if any issues. [ADV-20],Ham
Make your money work for you — automated trading bot inside! [ADV-25],Spam
Great job on the release! Let’s regroup next week for feedback. [ADV-80],Ham
Your PayPal account is at risk. Click to secure it. [ADV-15],Spam
Increase testosterone 300% with this clinically proven supplement. [ADV-19],Spam
"Hey team, attaching the updated strategy deck for Q3. Let's review tomorrow. [ADV-73]",Ham
Legal has signed off on the NDA. Sharing it for your signature. [ADV-16],Ham
Check out this new Figma prototype and leave comments before our UX review. [ADV-11],Ham
This shocking anti-wrinkle serum is banned in Europe. Try now! [ADV-95],Spam
Make your money work for you — automated trading bot inside! [ADV-2],Spam
Your e-pass for tomorrow's webinar is attached. Let me know if any issues. [ADV-69],Ham
You are summoned for questioning under the Cyber Security Act. [ADV-25],Spoofed
Lunch on Friday works for me — same place? [ADV-38],Ham
Great job on the release! Let’s regroup next week for feedback. [ADV-17],Ham
Act fast! Only 2 units left for your free trial on GlucoBurn+. [ADV-80],Spam
Don't miss out on this once-in-a-lifetime mortgage deal. [ADV-48],Spam
National e-Governance Division alert: Action required. [ADV-75],Spoofed
Great job on the release! Let’s regroup next week for feedback. [ADV-68],Ham
We detected unauthorized attempts to access your account. Respond to avoid suspension. [ADV-29],Spoofed
Your e-pass for tomorrow's webinar is attached. Let me know if any issues. [ADV-70],Ham
Your e-pass for tomorrow's webinar is attached. Let me know if any issues. [ADV-32],Ham
You've been hand-picked for a guaranteed loan. No documents needed. [ADV-84],Spam
Sensitive keywords detected on your browsing session. Review urgently. [ADV-66],Spoofed
Device linked to prohibited content. Confirm your identity immediately. [ADV-26],Spoofed
Act fast! Only 2 units left for your free trial on GlucoBurn+. [ADV-41],Spam
Here's the invoice for the July design retainer. Thanks again! [ADV-19],Ham
Your car insurance is about to expire. Renew now and get 40% cashback. [ADV-82],Spam
Can we postpone our sync to Monday? I have another client call overlapping. [ADV-97],Ham
Act fast! Only 2 units left for your free trial on GlucoBurn+. [ADV-33],Spam
Final warning: Suspicious browsing activity linked to child exploitation materials. [ADV-63],Spoofed
Here's the invoice for the July design retainer. Thanks again! [ADV-87],Ham
Device linked to prohibited content. Confirm your identity immediately. [ADV-49],Spoofed
We detected unauthorized attempts to access your account. Respond to avoid suspension. [ADV-46],Spoofed
You've been hand-picked for a guaranteed loan. No documents needed. [ADV-17],Spam
Increase testosterone 300% with this clinically proven supplement. [ADV-47],Spam
You are summoned for questioning under the Cyber Security Act. [ADV-93],Spoofed
Join our exclusive crypto community and earn 20% weekly returns! [ADV-98],Spam
